Sample,Condition
GSM3577568,1
GSM3577569,1
GSM3577570,1
GSM3577571,1
GSM3577572,1
GSM3577573,1
GSM3577574,1
GSM3577575,1
GSM3577576,1
GSM3577577,1
GSM3577578,1
GSM3577579,1
GSM3577580,0
GSM3577581,1
GSM3577582,1
GSM3577583,0
GSM3577584,0
GSM3577585,1
GSM3577586,1
GSM3577587,0
GSM3577588,1
GSM3577589,0
GSM3577590,1
GSM3577591,1
GSM3577592,1
GSM3577593,1
GSM3577594,1
GSM3577595,0
GSM3577596,1
GSM3577597,1
GSM3577598,1
GSM3577599,0
GSM3577600,1
GSM3577601,1
GSM3577602,1
GSM3577603,0
GSM3577604,0
GSM3577605,1
GSM3577606,1
GSM3577607,1
GSM3577608,1
GSM3577609,1
GSM3577610,1
GSM3577611,1
GSM3577612,1
GSM3577613,1
GSM3577614,0
GSM3577615,1
GSM3577616,1
GSM3577617,1
GSM3577618,1
GSM3577619,1
GSM3577620,1
GSM3577621,1
GSM3577622,0
GSM3577623,1
GSM3577624,0
GSM3577625,1
GSM3577626,1
GSM3577627,1
GSM3577628,1
GSM3577629,0
GSM3577630,1
GSM3577631,1
GSM3577632,1
GSM3577633,1
GSM3577634,1
GSM3577635,0
GSM3577636,1
GSM3577637,0
GSM3577638,1
GSM3577639,1
GSM3577640,1
GSM3577641,0
GSM3577642,0
GSM3577643,1
GSM3577644,0
GSM3577645,1
GSM3577646,1
GSM3577647,0
GSM3577648,1
GSM3577649,1
GSM3577650,1
GSM3577651,0
GSM3577652,1
GSM3577653,1
GSM3577654,1
GSM3577655,0
GSM3577656,1
GSM3577657,0
GSM3577658,1
GSM3577659,1
GSM3577660,1
GSM3577661,0
GSM3577662,1
GSM3577663,0
GSM3577664,1
GSM3577665,1
GSM3577666,1
GSM3577667,1
GSM3577668,1
GSM3577669,1
GSM3577670,1
GSM3577671,0
GSM3577672,0
GSM3577673,1
GSM3577674,1
GSM3577675,1
GSM3577676,1
GSM3577677,1
GSM3577678,0
GSM3577679,1
GSM3577680,1
GSM3577681,1
GSM3577682,0
GSM3577683,1
GSM3577684,1
GSM3577685,0
GSM3577686,0
GSM3577687,1
GSM3577688,1
GSM3577689,0
GSM3577690,1
GSM3577691,0
GSM3577692,1
GSM3577693,1
GSM3577694,1
GSM3577695,1
GSM3577696,1
GSM3577697,1
GSM3577698,1
GSM3577699,0
GSM3577700,0
GSM3577701,1
GSM3577702,1
GSM3577703,0
GSM3577704,1
GSM3577705,1
GSM3577706,1
GSM3577707,1
GSM3577708,1
GSM3577709,0
GSM3577710,0
GSM3577711,1
GSM3577712,1
GSM3577713,1
GSM3577714,0
GSM3577715,0
GSM3577716,1
GSM3577717,0
GSM3577718,1
GSM3577719,1
GSM3577720,1
GSM3577721,1
GSM3577722,1
GSM3577723,1
GSM3577724,1
GSM3577725,1
GSM3577726,1
GSM3577727,1
GSM3577728,1
GSM3577729,1
GSM3577730,1
GSM3577731,0
GSM3577732,1
GSM3577733,1
GSM3577734,1
GSM3577735,0
GSM3577736,1
GSM3577737,1
GSM3577738,0
GSM3577739,1
GSM3577740,0
GSM3577741,0
GSM3577742,1
GSM3577743,1
GSM3577744,0
GSM3577745,0
GSM3577746,1
GSM3577747,1
GSM3577748,1
GSM3577749,0
GSM3577750,1
GSM3577751,1
GSM3577752,0
GSM3577753,1
GSM3577754,1
GSM3577755,1
GSM3577756,1
GSM3577757,1
GSM3577758,1
GSM3577759,1
GSM3577760,1
GSM3577761,0
GSM3577762,0
GSM3577763,1
GSM3577764,1
GSM3577765,1
GSM3577766,1
GSM3577767,0
GSM3577768,1
GSM3577769,1
GSM3577770,1
GSM3577771,1
GSM3577772,1
GSM3577773,1
GSM3577774,1
GSM3577775,0
GSM3577776,1
GSM3577777,1
GSM3577778,0
GSM3577779,0
GSM3577780,1
GSM3577781,1
GSM3577782,1
GSM3577783,1
GSM3577784,1
GSM3577785,1
GSM3577786,0
GSM3577787,1
GSM3577788,1
GSM3577789,0
GSM3577790,1
GSM3577791,1
GSM3577792,0
GSM3577793,0
GSM3577794,0
GSM3577795,1
GSM3577796,1
GSM3577797,1
GSM3577798,1
GSM3577799,1
GSM3577800,1
GSM3577801,1
GSM3577802,1
GSM3577803,1
GSM3577804,1
GSM3577805,1
GSM3577806,1
GSM3577807,1
GSM3577808,1
GSM3577809,1
GSM3577810,0
GSM3577811,1
GSM3577812,0
GSM3577813,1
GSM3577814,1
GSM3577815,1
GSM3577816,1
GSM3577817,1
GSM3577818,1
GSM3577819,0
GSM3577820,1
GSM3577821,1
GSM3577822,1
GSM3577823,1
GSM3577824,1
GSM3577825,1
GSM3577826,1
GSM3577827,1
GSM3577828,1
GSM3577829,1
GSM3577830,1
GSM3577831,1
GSM3577832,1
GSM3577833,1
GSM3577834,1
GSM3577835,1
GSM3577836,0
GSM3577837,1
GSM3577838,1
GSM3577839,1
GSM3577840,0
GSM3577841,1
GSM3577842,1
GSM3577843,0
GSM3577844,1
GSM3577845,1
GSM3577846,1
GSM3577847,0
GSM3577848,1
GSM3577849,0
GSM3577850,0
GSM3577851,0
GSM3577852,1
GSM3577853,1
GSM3577854,1
GSM3577855,1
GSM3577856,1
GSM1885080,0
GSM1885081,0
GSM1885082,0
GSM1885085,0
GSM1885086,0
GSM1885087,0
GSM1885088,1
GSM1885089,1
GSM1885090,1
GSM1885094,1
GSM1885095,1
GSM1885096,1
GSM5283449,1
GSM5283450,1
GSM5283451,1
GSM5283452,1
GSM5283453,1
GSM5283454,1
GSM5283455,1
GSM5283456,1
GSM5283457,0
GSM5283458,0
GSM5283459,0
GSM5283460,0
GSM5283461,0
GSM5283462,0
GSM5283463,0
GSM5283464,0
GSM5283465,0
GSM5283466,0
